run_id	pvalue_KM	n_sign_KM	enriching_signatures	p_value_adj_KM
shuffling_15perc_45	0.039626068030960915	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.22798447401579405
shuffling_15perc_46	0.007638147618387286	7	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_1;Comm_6	0.13226055612891668
shuffling_15perc_47	0.3011994007838933	7	Comm_3;Comm_5;Comm_2;Comm_7;Comm_4;Comm_1;Comm_6	0.383059677338445
shuffling_15perc_48	0.014993904636281249	7	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_1;Comm_6	0.1761783794763047
shuffling_15perc_49	0.0828934073544229	7	Comm_7;Comm_5;Comm_1;Comm_2;Comm_3;Comm_4;Comm_6	0.24126901667783263
shuffling_15perc_50	0.04133240797508235	7	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4;Comm_6	0.22798447401579405
shuffling_25perc_1	0.009408213014149383	6	Comm_3;Comm_5;Comm_2;Comm_1;Comm_4;Comm_7	0.14739533722167367
shuffling_25perc_2	0.3235275303412174	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_6	0.4078182279013813
shuffling_25perc_3	0.20789773792693567	7	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_1;Comm_6	0.3272648601816356
shuffling_25perc_4	0.08019541008578676	7	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_6;Comm_4	0.24126901667783263
shuffling_25perc_5	0.3251170730599521	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.4082576986134513
shuffling_25perc_6	0.13664114985246956	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.26976790851258403
shuffling_25perc_7	0.2484538689772048	7	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_1;Comm_6	0.3499596012613411
shuffling_25perc_8	0.01312606091704112	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.17273896166826114
shuffling_25perc_9	0.15694022533398974	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.28911418502538316
shuffling_25perc_10	0.30600210025781416	6	Comm_3;Comm_5;Comm_1;Comm_2;Comm_7;Comm_4	0.3872103499416187
shuffling_25perc_11	0.12058148920050867	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_6	0.26159627833322874
shuffling_25perc_12	0.10974445352314559	5	Comm_7;Comm_5;Comm_2;Comm_4;Comm_3	0.25426707893742884
shuffling_25perc_13	0.0285333893497657	6	Comm_3;Comm_5;Comm_1;Comm_2;Comm_4;Comm_7	0.19948547438573822
shuffling_25perc_14	0.16742943970692842	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_1;Comm_4	0.2993711177368448
shuffling_25perc_15	0.1995689139225899	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.32370193594836155
shuffling_25perc_16	0.1374291765901382	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_1	0.26976790851258403
shuffling_25perc_17	0.19022588355195086	7	Comm_7;Comm_5;Comm_3;Comm_2;Comm_1;Comm_4;Comm_6	0.3160824024676355
shuffling_25perc_18	0.6640841602141347	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_3;Comm_4	0.7282789623681678
shuffling_25perc_19	0.22904568446660062	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.3369530344871761
shuffling_25perc_20	0.15998700828956836	6	Comm_7;Comm_5;Comm_1;Comm_2;Comm_4;Comm_3	0.29242069848482216
shuffling_25perc_21	0.24909080321226845	7	Comm_3;Comm_5;Comm_7;Comm_1;Comm_2;Comm_6;Comm_4	0.3499596012613411
shuffling_25perc_22	0.26061222583721233	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.3535944382374974
shuffling_25perc_23	0.08337616066952407	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.24126901667783263
shuffling_25perc_24	0.2077978101776858	6	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4;Comm_6	0.3272648601816356
shuffling_25perc_25	0.07964709533326249	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.24126901667783263
shuffling_25perc_26	0.10670730252612648	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.2518990714171174
shuffling_25perc_27	0.0074455749899662756	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.13226055612891668
shuffling_25perc_28	0.2423224187003246	6	Comm_7;Comm_5;Comm_1;Comm_3;Comm_2;Comm_4	0.3466264163148121
shuffling_25perc_29	0.22941808792787735	6	Comm_7;Comm_5;Comm_2;Comm_3;Comm_4;Comm_1	0.3369530344871761
shuffling_25perc_30	0.12165419630694224	6	Comm_7;Comm_5;Comm_2;Comm_3;Comm_4;Comm_1	0.26159627833322874
shuffling_25perc_31	0.00265461624862651	6	Comm_3;Comm_5;Comm_1;Comm_2;Comm_4;Comm_7	0.06718221121524014
shuffling_25perc_32	0.2832369871977637	7	Comm_3;Comm_5;Comm_1;Comm_7;Comm_4;Comm_2;Comm_6	0.3671398225289673
shuffling_25perc_33	0.26325106793469233	5	Comm_3;Comm_5;Comm_2;Comm_7;Comm_4	0.3535944382374974
shuffling_25perc_34	0.02514913896874109	7	Comm_7;Comm_5;Comm_1;Comm_2;Comm_3;Comm_4;Comm_6	0.19486760830739444
shuffling_25perc_35	0.041643562414149654	5	Comm_7;Comm_5;Comm_2;Comm_3;Comm_4	0.22798447401579405
shuffling_25perc_36	0.06213040663623477	6	Comm_7;Comm_5;Comm_3;Comm_1;Comm_2;Comm_4	0.24126901667783263
shuffling_25perc_37	0.2695748933379188	5	Comm_7;Comm_5;Comm_3;Comm_2;Comm_4	0.3590693923407906
