gene_ID,gene_name,difference,tstat,logpval,significant
BVES,BVES,-1.516361549563749,-1.516361549563749,1.8705720439599793,NA
BVES-AS1,BVES-AS1,-2.523212931693564,-2.523212931693564,1.9883712036923875,+
BYSL,BYSL,0.23104828084296855,0.23104828084296855,0.8172772939101778,NA
BZRAP1,BZRAP1,-0.04450082450750541,-0.04450082450750541,1.035494805232283,NA
BZW1,BZW1,1.2195815053936945,1.2195815053936945,0.2226235609758915,NA
BZW2,BZW2,1.0558508354420797,1.0558508354420797,0.2910363688397565,NA
C10orf10,C10orf10,0.2735101584821301,0.2735101584821301,0.7844610846024582,NA
C10orf107,C10orf107,-0.8389457257334964,-0.8389457257334964,1.5985002332358673,NA
C10orf11,C10orf11,-0.9399868705425378,-0.9399868705425378,1.6527757046232916,NA
C10orf113,C10orf113,-1.9128558048666215,-1.9128558048666215,1.944233485271602,NA
C10orf118,C10orf118,0.13835710892333533,0.13835710892333533,0.8899581930545695,NA
C10orf12,C10orf12,0.04077893736687772,0.04077893736687772,0.9674721309355038,NA
C10orf128,C10orf128,-0.04527756617163647,-0.04527756617163647,1.0361139313020813,NA
C10orf129,C10orf129,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C10orf131,C10orf131,-0.31354471842088233,-0.31354471842088233,1.2461331482315259,NA
C10orf2,C10orf2,0.22062699684921097,0.22062699684921097,0.8253828785528559,NA
C10orf32,C10orf32,0.6917855446166764,0.6917855446166764,0.4890720158540975,NA
C10orf32-ASMT,C10orf32-ASMT,0.6917855446166764,0.6917855446166764,0.4890720158540975,NA
C10orf35,C10orf35,0.439927060022198,0.439927060022198,0.6599899363894423,NA
C10orf54,C10orf54,-0.21803785796877417,-0.21803785796877417,1.1726003854400837,NA
C10orf62,C10orf62,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C10orf67,C10orf67,-2.79468414330735,-2.79468414330735,1.9948049555115528,+
C10orf76,C10orf76,0.23027153917883753,0.23027153917883753,0.8178807748413648,NA
C10orf82,C10orf82,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C10orf85,C10orf85,-2.320418628883361,-2.320418628883361,1.9796817578996546,+
C10orf88,C10orf88,0.04174986444704152,0.04174986444704152,0.9666981025083109,NA
C10orf90,C10orf90,-2.817112558859133,-2.817112558859133,1.9951542459940312,+
C10orf91,C10orf91,-1.0914191308120784,-1.0914191308120784,1.7249115017828762,NA
C11orf1,C11orf1,0.6021366108815561,0.6021366108815561,0.5470832062909221,NA
C11orf21,C11orf21,-1.0582134246704775,-1.0582134246704775,1.7100418477397723,NA
C11orf24,C11orf24,0.4254926107637635,0.4254926107637635,0.6704776071066861,NA
C11orf30,C11orf30,0.2348348964556072,0.2348348964556072,0.81433688154308,NA
C11orf31,C11orf31,1.6871476229645537,1.6871476229645537,0.0915749697882476,NA
C11orf35,C11orf35,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C11orf44,C11orf44,-2.886307295438803,-2.886307295438803,1.996102086323698,+
C11orf45,C11orf45,-1.0444909886041636,-1.0444909886041636,1.703741713727158,NA
C11orf48,C11orf48,1.4174240800950622,1.4174240800950622,0.1563589765119684,NA
C11orf49,C11orf49,0.33490511418448504,0.33490511418448504,0.7376966641103345,NA
C11orf52,C11orf52,0.34251070964576774,0.34251070964576774,0.7319665857266582,NA
C11orf53,C11orf53,-1.4271333508966997,-1.4271333508966997,1.8464585390060257,NA
C11orf54,C11orf54,0.16729073591221524,0.16729073591221524,0.8671412930939179,NA
C11orf57,C11orf57,0.4094075854690506,0.4094075854690506,0.6822405738733002,NA
C11orf58,C11orf58,0.9003083171998458,0.9003083171998458,0.3679561961402111,NA
C11orf63,C11orf63,-0.27198903938987357,-0.27198903938987357,1.2143695529365877,NA
C11orf65,C11orf65,-1.2112638967402911,-1.2112638967402911,1.774205719174529,NA
C11orf68,C11orf68,0.5062413795973825,0.5062413795973825,0.6126872094160056,NA
C11orf70,C11orf70,0.5080861410496936,0.5080861410496936,0.6113929340480294,NA
C11orf71,C11orf71,-0.1325315464423527,-0.1325315464423527,1.1054361273601299,NA
C11orf73,C11orf73,0.8309193952041426,0.8309193952041426,0.40601916611205263,NA
C11orf74,C11orf74,0.4677926672228978,0.4677926672228978,0.6399328649470402,NA
C11orf80,C11orf80,0.6012951407454142,0.6012951407454142,0.5476434255017796,NA
C11orf82,C11orf82,0.10816127673024246,0.10816127673024246,0.9138677613910902,NA
C11orf83,C11orf83,0.5899676581435036,0.5899676581435036,0.555212332548187,NA
C11orf84,C11orf84,0.4630998530021063,0.4630998530021063,0.6432927953743189,NA
C11orf85,C11orf85,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C11orf86,C11orf86,-2.005352791370222,-2.005352791370222,1.9550746551971954,+
C11orf87,C11orf87,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C11orf88,C11orf88,-0.67757764501028,-0.67757764501028,1.501960475842,NA
C11orf91,C11orf91,1.606560675310962,1.606560675310962,0.10815077482533568,NA
C11orf95,C11orf95,0.20907296459526217,0.20907296459526217,0.834391279437948,NA
C11orf96,C11orf96,-0.3046121892833758,-0.3046121892833758,1.2393384647330596,NA
C12orf10,C12orf10,0.659712586735267,0.659712586735267,0.5094382878615551,NA
C12orf29,C12orf29,0.2671667682250602,0.2671667682250602,0.7893407615445566,NA
